Ref,Val,Package,PosX,PosY,Rot,Side
"D10","BAV23A/Q","SOT-23",58.862880,-119.380000,180.000000,top
"D11","BAV23A/Q","SOT-23",67.312880,-90.170000,180.000000,top
"D12","BAV23A/Q","SOT-23",67.512880,-119.380000,180.000000,top
"D13","BAV23A/Q","SOT-23",75.512880,-90.170000,180.000000,top
"D14","BAV23A/Q","SOT-23",75.612880,-119.380000,180.000000,top
"D15","BAV23A/Q","SOT-23",84.312880,-90.170000,180.000000,top
"D16","BAV23A/Q","SOT-23",84.662880,-119.380000,180.000000,top
"D17","BAV23A/Q","SOT-23",60.354380,-128.270000,0.000000,top
"D18","BAV23A/Q","SOT-23",59.412880,-157.480000,0.000000,top
"D19","BAV23A/Q","SOT-23",68.454380,-128.270000,0.000000,top
"D20","BAV23A/Q","SOT-23",68.362880,-157.480000,0.000000,top
"D21","BAV23A/Q","SOT-23",76.754380,-128.270000,0.000000,top
"D22","BAV23A/Q","SOT-23",78.112880,-157.480000,0.000000,top
"D23","BAV23A/Q","SOT-23",84.955380,-128.262380,0.000000,top
"D24","BAV23A/Q","SOT-23",86.812880,-157.480000,0.000000,top
"D25","BAV23A/Q","SOT-23",59.612880,-166.370000,180.000000,top
"D26","BAV23A/Q","SOT-23",57.812880,-195.580000,180.000000,top
"D27","BAV23A/Q","SOT-23",67.312880,-166.370000,180.000000,top
"D28","BAV23A/Q","SOT-23",67.312880,-195.580000,180.000000,top
"D29","BAV23A/Q","SOT-23",75.112880,-166.370000,180.000000,top
"D30","BAV23A/Q","SOT-23",75.012880,-195.580000,180.000000,top
"D31","BAV23A/Q","SOT-23",84.812880,-166.370000,180.000000,top
"D32","BAV23A/Q","SOT-23",83.412880,-195.580000,180.000000,top
"Q1","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",61.362880,-52.070000,270.000000,top
"Q2","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",55.412880,-81.280000,90.000000,top
"Q3","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",70.612880,-52.070000,90.000000,top
"Q4","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",63.412880,-81.280000,90.000000,top
