Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",163.187380,-114.355880,270.000000,top
"C2","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",165.219380,-114.355880,270.000000,top
"C3","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",167.251380,-114.355880,270.000000,top
"C4","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",169.219880,-114.355880,270.000000,top
"C5","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",169.219880,-118.356380,90.000000,top
"C6","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",167.187880,-118.356380,90.000000,top
"C7","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",165.282880,-118.356380,90.000000,top
"C8","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",163.250880,-118.356380,90.000000,top
"C9","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",161.480500,-141.351000,270.000000,top
"C10","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",163.441380,-141.351000,270.000000,top
"C11","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",165.417500,-141.287500,270.000000,top
"C12","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",167.386000,-141.287500,270.000000,top
"C13","302010138","CP_EIA-1608-08_AVX-J",150.876000,-130.683000,0.000000,top
"C14","302010138","CP_EIA-1608-08_AVX-J",131.850000,-102.700000,0.000000,top
"C15","302010138","CP_EIA-1608-08_AVX-J",151.384000,-106.426000,0.000000,top
"C16","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",161.663380,-144.962880,90.000000,top
"C17","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",163.631880,-145.089880,90.000000,top
"C18","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",165.536880,-144.962880,90.000000,top
"C19","1nf 302010138 or ESD","CP_EIA-1608-08_AVX-J",167.449500,-145.034000,90.000000,top
